,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science
0,1,1,Harvard University,93.9,1,29.9,2,17.6,14,39.8,1,6.7,156,466,Massachusetts,"$48,949","$16,660","$92,033",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,2,2,Massachusetts Institute of Technology,91.8,2,29.2,3,16.5,189,38.8,12,7.2,108,471,Massachusetts,"$49,892","$14,720","$96,033",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
2,3,3,Yale University,91.3,3,26.7,13,17.5,26,39.7,4,7.4,99,475,Connecticut,"$51,400","$15,500","$80,200",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
3,4,4,University of Pennsylvania,90.4,4,27.0,10,16.9,104,39.6,5,6.9,141,480,Pennsylvania,"$53,534","$15,066","$82,667",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,=5,California Institute of Technology,90.2,5,29.9,1,14.8,665,39.1,8,6.4,191,128779,California,"$49,908","$14,796","$79,300",1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
5,6,=5,Princeton University,90.2,6,28.0,4,15.4,524,39.8,2,7.0,127,469,New Jersey,"$47,140","$15,610","$77,700",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
6,7,=7,Brown University,90.1,7,27.7,5,17.5,17,38.0,15,7.0,118,513,Rhode Island,"$53,419","$14,020","$63,433",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
7,8,=7,Stanford University,90.1,8,25.4,19,17.0,89,39.6,6,8.1,43,467,California,"$49,617","$15,112","$88,567",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
8,9,9,Cornell University,89.8,9,26.6,14,17.1,67,39.5,7,6.6,169,484,New York,"$52,853","$14,330","$74,300",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
9,10,10,Duke University,89.7,10,26.2,15,17.1,70,39.7,3,6.7,154,487,North Carolina,"$53,500","$14,798","$79,667",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
10,11,11,Northwestern University,89.0,11,27.1,8,17.2,58,38.3,13,6.4,196,490,Illinois,"$52,678","$16,047","$66,433",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
11,12,=12,Dartmouth College,88.8,12,26.8,12,16.9,95,39.0,11,6.1,236,554,New Hampshire,"$52,950","$15,159","$71,100",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
12,13,=12,Johns Hopkins University,88.8,13,26.0,16,16.3,234,39.1,9,7.4,97,478,Maryland,"$52,170","$15,410","$69,633",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
13,14,14,The University of Chicago,88.6,14,26.9,11,15.4,505,39.0,10,7.3,102,473,Illinois,"$54,825","$15,726","$65,867",1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0
14,15,15,Columbia University,88.4,15,27.0,9,16.5,183,37.1,21,7.9,56,476,New York,"$51,640","$13,644","$78,900",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
15,16,16,Rice University,88.1,16,27.2,7,17.3,43,36.6,22,7.0,129,536,Texas,"$45,608","$13,850","$64,733",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1
16,17,17,Vanderbilt University,87.3,17,27.6,6,16.8,132,37.4,20,5.6,307,534,Tennessee,"$47,664","$15,584","$64,733",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
17,18,18,University of Southern California,86.1,18,25.1,21,17.7,10,35.7,27,7.7,68,519,California,"$54,259","$14,886","$70,700",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
18,19,19,Washington University in St Louis,86.0,19,26.0,17,17.2,62,36.5,24,6.3,213,505,Missouri,"$51,533","$16,006","$66,400",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
19,20,20,Amherst College,84.6,20,24.0,31,15.1,589,38.1,14,7.4,93,592862,Massachusetts,"$54,310","$14,190","$60,333",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
